Trade #,Type,Signal,Date/Time,Price USD,Contracts,Profit USD,Profit %,Cum. Profit USD,Cum. Profit %,Run-up USD,Run-up %,Drawdown USD,Drawdown %
144,Exit Long,Close entry(s) order buy,2023-12-27 13:35,22.24,499,-39.92,-0.36,1119.42,-0.36,24.95,0.22,39.92,0.36
144,Entry Long,buy,2023-12-27 12:55,22.32,499,-39.92,-0.36,1119.42,-0.36,24.95,0.22,39.92,0.36
143,Exit Long,Close entry(s) order buy,2023-12-27 12:35,22.31,500,60.00,0.54,1159.34,0.54,100.00,0.9,50.00,0.45
143,Entry Long,buy,2023-12-26 15:40,22.19,500,60.00,0.54,1159.34,0.54,100.00,0.9,50.00,0.45
142,Exit Long,Close entry(s) order buy,2023-12-22 11:35,22.29,497,-9.94,-0.09,1099.34,-0.09,104.37,0.94,49.70,0.45
142,Entry Long,buy,2023-12-21 15:35,22.31,497,-9.94,-0.09,1099.34,-0.09,104.37,0.94,49.70,0.45
141,Exit Long,Close entry(s) order buy,2023-12-21 12:35,22.26,499,-29.94,-0.27,1109.28,-0.27,9.98,0.09,49.90,0.45
141,Entry Long,buy,2023-12-21 10:35,22.32,499,-29.94,-0.27,1109.28,-0.27,9.98,0.09,49.90,0.45
140,Exit Long,Close entry(s) order buy,2023-12-20 14:35,22.27,500,0,0,1139.22,0,5.00,0.04,5.00,0.04
140,Entry Long,buy,2023-12-20 14:05,22.27,500,0,0,1139.22,0,5.00,0.04,5.00,0.04
139,Exit Long,Close entry(s) order buy,2023-12-20 12:35,22.26,500,15.00,0.13,1139.22,0.13,40.00,0.36,20.00,0.18
139,Entry Long,buy,2023-12-20 09:40,22.23,500,15.00,0.13,1139.22,0.13,40.00,0.36,20.00,0.18
138,Exit Long,Close entry(s) order buy,2023-12-04 09:40,22.81,487,-258.11,-2.27,1124.22,-2.27,0,0,292.20,2.57
138,Entry Long,buy,2023-12-01 15:50,23.34,487,-258.11,-2.27,1124.22,-2.27,0,0,292.20,2.57
137,Exit Long,Close entry(s) order buy,2023-12-01 15:35,23.35,487,107.14,0.95,1382.33,0.95,116.88,1.04,38.96,0.35
137,Entry Long,buy,2023-11-30 14:50,23.13,487,107.14,0.95,1382.33,0.95,116.88,1.04,38.96,0.35
