Trade #,Type,Signal,Date/Time,Price USD,Contracts,Profit USD,Profit %,Cum. Profit USD,Cum. Profit %,Run-up USD,Run-up %,Drawdown USD,Drawdown %
194,Exit Long,Close entry(s) order buy,2023-12-28 14:35,32.40,624,-49.92,-0.25,10219.65,-0.25,74.88,0.37,149.76,0.74
194,Entry Long,buy,2023-12-28 12:20,32.48,624,-49.92,-0.25,10219.65,-0.25,74.88,0.37,149.76,0.74
193,Exit Long,Close entry(s) order buy,2023-12-28 11:35,32.40,625,181.25,0.9,10269.57,0.9,418.75,2.09,37.50,0.19
193,Entry Long,buy,2023-12-28 09:35,32.11,625,181.25,0.9,10269.57,0.9,418.75,2.09,37.50,0.19
192,Exit Long,Close entry(s) order buy,2023-12-27 10:35,32.05,626,-275.44,-1.35,10088.32,-1.35,6.26,0.03,313.00,1.54
192,Entry Long,buy,2023-12-27 10:05,32.49,626,-275.44,-1.35,10088.32,-1.35,6.26,0.03,313.00,1.54
191,Exit Long,Close entry(s) order buy,2023-12-27 09:40,32.43,627,219.45,1.09,10363.76,1.09,413.82,2.06,25.08,0.12
191,Entry Long,buy,2023-12-26 14:40,32.08,627,219.45,1.09,10363.76,1.09,413.82,2.06,25.08,0.12
190,Exit Long,Close entry(s) order buy,2023-12-26 14:35,32.08,628,56.52,0.28,10144.31,0.28,69.08,0.34,56.52,0.28
190,Entry Long,buy,2023-12-26 12:55,31.99,628,56.52,0.28,10144.31,0.28,69.08,0.34,56.52,0.28
189,Exit Long,Close entry(s) order buy,2023-12-26 12:35,31.90,629,31.45,0.16,10087.79,0.16,88.06,0.44,31.45,0.16
189,Entry Long,buy,2023-12-26 11:40,31.85,629,31.45,0.16,10087.79,0.16,88.06,0.44,31.45,0.16
188,Exit Long,Close entry(s) order buy,2023-12-26 11:35,31.81,630,12.60,0.06,10056.34,0.06,69.30,0.35,201.60,1.01
188,Entry Long,buy,2023-12-26 10:05,31.79,630,12.60,0.06,10056.34,0.06,69.30,0.35,201.60,1.01
187,Exit Long,Close entry(s) order buy,2023-12-22 14:35,30.00,667,-500.25,-2.44,10043.74,-2.44,53.36,0.26,580.29,2.83
187,Entry Long,buy,2023-12-22 13:20,30.75,667,-500.25,-2.44,10043.74,-2.44,53.36,0.26,580.29,2.83
186,Exit Long,Close entry(s) order buy,2023-12-22 12:35,30.65,670,-33.50,-0.16,10543.99,-0.16,80.40,0.39,127.30,0.62
186,Entry Long,buy,2023-12-22 11:40,30.70,670,-33.50,-0.16,10543.99,-0.16,80.40,0.39,127.30,0.62
185,Exit Long,Close entry(s) order buy,2023-12-22 11:35,30.78,668,-40.08,-0.19,10577.49,-0.19,160.32,0.78,267.20,1.3
185,Entry Long,buy,2023-12-22 09:40,30.84,668,-40.08,-0.19,10577.49,-0.19,160.32,0.78,267.20,1.3
184,Exit Long,Close entry(s) order buy,2023-12-20 10:35,30.41,677,135.40,0.66,10617.57,0.66,182.79,0.89,182.79,0.89
184,Entry Long,buy,2023-12-20 09:35,30.21,677,135.40,0.66,10617.57,0.66,182.79,0.89,182.79,0.89
183,Exit Long,Close entry(s) order buy,2023-12-19 15:35,30.71,666,39.96,0.2,10482.17,0.2,153.18,0.75,53.28,0.26
183,Entry Long,buy,2023-12-19 12:35,30.65,666,39.96,0.2,10482.17,0.2,153.18,0.75,53.28,0.26
182,Exit Long,Close entry(s) order buy,2023-12-19 11:35,30.36,673,-208.63,-1.01,10442.21,-1.01,6.73,0.03,255.74,1.24
182,Entry Long,buy,2023-12-19 10:35,30.67,673,-208.63,-1.01,10442.21,-1.01,6.73,0.03,255.74,1.24
181,Exit Long,Close entry(s) order buy,2023-12-15 12:35,31.07,664,630.80,3.15,10650.84,3.15,976.08,4.88,19.92,0.1
181,Entry Long,buy,2023-12-14 15:05,30.12,664,630.80,3.15,10650.84,3.15,976.08,4.88,19.92,0.1
180,Exit Long,Close entry(s) order buy,2023-12-14 12:35,30.13,664,92.96,0.47,10020.04,0.47,92.96,0.47,39.84,0.2
180,Entry Long,buy,2023-12-14 12:20,29.99,664,92.96,0.47,10020.04,0.47,92.96,0.47,39.84,0.2
179,Exit Long,Close entry(s) order buy,2023-12-14 11:35,29.82,668,240.48,1.22,9927.08,1.22,688.04,3.5,0,0
179,Entry Long,buy,2023-12-14 09:40,29.46,668,240.48,1.22,9927.08,1.22,688.04,3.5,0,0
178,Exit Long,Close entry(s) order buy,2023-12-13 15:35,27.67,711,21.33,0.11,9686.60,0.11,540.36,2.75,305.73,1.56
178,Entry Long,buy,2023-12-13 14:35,27.64,711,21.33,0.11,9686.60,0.11,540.36,2.75,305.73,1.56
177,Exit Long,Close entry(s) order buy,2023-12-13 11:35,26.80,733,-95.29,-0.48,9665.27,-0.48,146.60,0.74,153.93,0.78
177,Entry Long,buy,2023-12-13 09:45,26.93,733,-95.29,-0.48,9665.27,-0.48,146.60,0.74,153.93,0.78
