Trade #,Type,Signal,Date/Time,Price USD,Contracts,Profit USD,Profit %,Cum. Profit USD,Cum. Profit %,Run-up USD,Run-up %,Drawdown USD,Drawdown %
403,Exit Long,Open,,,,,,,,,,,
403,Entry Long,buy,2024-01-22 15:35,54.94,,,,,,,,,
402,Exit Long,Close entry(s) order buy,2024-01-22 12:35,54.92,390,-81.90,-0.38,11456.57,-0.38,0,0,144.30,0.67
402,Entry Long,buy,2024-01-22 12:05,55.13,390,-81.90,-0.38,11456.57,-0.38,0,0,144.30,0.67
401,Exit Long,Close entry(s) order buy,2024-01-22 11:35,55.10,390,-23.40,-0.11,11538.47,-0.11,175.50,0.82,241.80,1.12
401,Entry Long,buy,2024-01-22 09:45,55.16,390,-23.40,-0.11,11538.47,-0.11,175.50,0.82,241.80,1.12
400,Exit Long,Close entry(s) order buy,2024-01-22 09:40,55.57,388,438.44,2.08,11561.87,2.08,574.24,2.72,15.52,0.07
400,Entry Long,buy,2024-01-19 15:40,54.44,388,438.44,2.08,11561.87,2.08,574.24,2.72,15.52,0.07
399,Exit Long,Close entry(s) order buy,2024-01-19 15:35,54.52,387,81.27,0.39,11123.43,0.39,119.97,0.57,27.09,0.13
399,Entry Long,buy,2024-01-19 14:45,54.31,387,81.27,0.39,11123.43,0.39,119.97,0.57,27.09,0.13
398,Exit Long,Close entry(s) order buy,2024-01-19 14:35,54.20,388,1090.28,5.47,11042.16,5.46,1218.32,6.11,7.76,0.04
398,Entry Long,buy,2024-01-18 15:40,51.39,388,1090.28,5.47,11042.16,5.46,1218.32,6.11,7.76,0.04
397,Exit Long,Close entry(s) order buy,2024-01-18 15:35,51.55,387,255.42,1.3,9951.88,1.3,278.64,1.41,7.74,0.04
397,Entry Long,buy,2024-01-18 14:05,50.89,387,255.42,1.3,9951.88,1.3,278.64,1.41,7.74,0.04
396,Exit Long,Close entry(s) order buy,2024-01-18 12:35,50.60,389,-124.48,-0.63,9696.46,-0.63,225.62,1.14,163.38,0.82
396,Entry Long,buy,2024-01-18 09:40,50.92,389,-124.48,-0.63,9696.46,-0.63,225.62,1.14,163.38,0.82
395,Exit Long,Close entry(s) order buy,2024-01-16 12:35,49.84,397,-293.78,-1.46,9820.94,-1.46,27.79,0.14,325.54,1.62
395,Entry Long,buy,2024-01-16 11:40,50.58,397,-293.78,-1.46,9820.94,-1.46,27.79,0.14,325.54,1.62
394,Exit Long,Close entry(s) order buy,2024-01-16 11:35,50.74,396,198.00,1,10114.72,0.99,265.32,1.33,360.36,1.81
394,Entry Long,buy,2024-01-12 15:40,50.24,396,198.00,1,10114.72,0.99,265.32,1.33,360.36,1.81
393,Exit Long,Close entry(s) order buy,2024-01-12 15:35,50.29,396,83.16,0.42,9916.72,0.42,186.12,0.94,31.68,0.16
393,Entry Long,buy,2024-01-12 12:40,50.08,396,83.16,0.42,9916.72,0.42,186.12,0.94,31.68,0.16
392,Exit Long,Close entry(s) order buy,2024-01-12 12:35,50.12,395,19.75,0.1,9833.56,0.1,359.45,1.82,90.85,0.46
392,Entry Long,buy,2024-01-11 15:40,50.07,395,19.75,0.1,9833.56,0.1,359.45,1.82,90.85,0.46
391,Exit Long,Close entry(s) order buy,2024-01-11 15:35,50.21,394,232.46,1.19,9813.81,1.19,323.08,1.65,0,0
391,Entry Long,buy,2024-01-11 13:35,49.62,394,232.46,1.19,9813.81,1.19,323.08,1.65,0,0
390,Exit Long,Close entry(s) order buy,2024-01-11 10:35,49.44,396,-277.20,-1.4,9581.35,-1.4,43.56,0.22,435.60,2.19
390,Entry Long,buy,2024-01-11 09:50,50.14,396,-277.20,-1.4,9581.35,-1.4,43.56,0.22,435.60,2.19
389,Exit Long,Close entry(s) order buy,2024-01-10 15:35,50.07,396,201.96,1.03,9858.55,1.03,336.60,1.72,87.12,0.44
389,Entry Long,buy,2024-01-10 11:45,49.56,396,201.96,1.03,9858.55,1.03,336.60,1.72,87.12,0.44
388,Exit Long,Close entry(s) order buy,2024-01-10 11:35,49.38,398,-3.98,-0.02,9656.59,-0.02,111.44,0.57,214.92,1.09
388,Entry Long,buy,2024-01-10 09:40,49.39,398,-3.98,-0.02,9656.59,-0.02,111.44,0.57,214.92,1.09
387,Exit Long,Close entry(s) order buy,2024-01-02 09:40,48.80,402,-791.94,-3.88,9660.57,-3.87,36.18,0.18,812.04,3.98
387,Entry Long,buy,2023-12-29 15:35,50.77,402,-791.94,-3.88,9660.57,-3.87,36.18,0.18,812.04,3.98
386,Exit Long,Close entry(s) order buy,2023-12-28 15:35,51.49,397,-91.31,-0.44,10452.51,-0.44,0,0,146.89,0.72
386,Entry Long,buy,2023-12-28 13:40,51.72,397,-91.31,-0.44,10452.51,-0.44,0,0,146.89,0.72
385,Exit Long,Close entry(s) order buy,2023-12-28 13:35,51.67,397,7.94,0.04,10543.82,0.04,47.64,0.23,99.25,0.48
385,Entry Long,buy,2023-12-28 11:45,51.65,397,7.94,0.04,10543.82,0.04,47.64,0.23,99.25,0.48
384,Exit Long,Close entry(s) order buy,2023-12-28 11:35,51.60,397,87.34,0.43,10535.88,0.43,250.11,1.23,71.46,0.35
384,Entry Long,buy,2023-12-27 15:40,51.38,397,87.34,0.43,10535.88,0.43,250.11,1.23,71.46,0.35
383,Exit Long,Close entry(s) order buy,2023-12-27 15:35,51.34,398,19.90,0.1,10448.54,0.1,35.82,0.18,51.74,0.25
383,Entry Long,buy,2023-12-27 14:40,51.29,398,19.90,0.1,10448.54,0.1,35.82,0.18,51.74,0.25
382,Exit Long,Close entry(s) order buy,2023-12-27 14:35,51.33,397,3.97,0.02,10428.64,0.02,134.98,0.66,95.28,0.47
382,Entry Long,buy,2023-12-27 11:50,51.32,397,3.97,0.02,10428.64,0.02,134.98,0.66,95.28,0.47
381,Exit Long,Close entry(s) order buy,2023-12-27 10:35,51.14,399,-135.66,-0.66,10424.67,-0.66,59.85,0.29,183.54,0.89
381,Entry Long,buy,2023-12-27 09:45,51.48,399,-135.66,-0.66,10424.67,-0.66,59.85,0.29,183.54,0.89
380,Exit Long,Close entry(s) order buy,2023-12-27 09:40,51.45,399,219.45,1.08,10560.33,1.08,279.30,1.38,0,0
380,Entry Long,buy,2023-12-26 12:40,50.90,399,219.45,1.08,10560.33,1.08,279.30,1.38,0,0
379,Exit Long,Close entry(s) order buy,2023-12-26 12:35,50.93,399,-11.97,-0.06,10340.88,-0.06,31.92,0.16,19.95,0.1
379,Entry Long,buy,2023-12-26 11:40,50.96,399,-11.97,-0.06,10340.88,-0.06,31.92,0.16,19.95,0.1
